level,title,pdf_url,book_page
1,がんばっているみなさんへ,https://tadoku.org/japanese/wp-content/uploads/f0081e-ganbatte-v4.pdf,https://tadoku.org/japanese/book/8688/
1,これは何でしょう？,https://tadoku.org/japanese/wp-content/uploads/w0003e-korehanandesyou-v2.pdf,https://tadoku.org/japanese/book/5883/
1,しあわせ,https://tadoku.org/japanese/wp-content/uploads/f0101e-shiawase-v2.pdf,https://tadoku.org/japanese/book/41614/
1,ぼくのかぞく,https://tadoku.org/japanese/wp-content/uploads/f0103e-bokunokazoku.pdf,https://tadoku.org/japanese/book/42390/
1,シュモーハウス,https://tadoku.org/japanese/wp-content/uploads/f0018e-schmoehouse-v3.pdf,https://tadoku.org/japanese/book/4644/
1,チワワの花すけ～帽子とマフラー,https://tadoku.org/japanese/wp-content/uploads/f0031e-chiwawanohanasuke2-v3.pdf,https://tadoku.org/japanese/book/5371/
1,チワワの花すけ～雪だるま,https://tadoku.org/japanese/wp-content/uploads/f0109e-hanasukeyukidaruma-v2.pdf,https://tadoku.org/japanese/book/43726/
1,ディアさんの冬休み,https://tadoku.org/japanese/wp-content/uploads/f0083e-diasanno-v4.pdf,https://tadoku.org/japanese/book/8884/
1,デカりんご,https://tadoku.org/japanese/wp-content/uploads/f0065e-dekaringo-v2.pdf,https://tadoku.org/japanese/book/7787/
1,ピーターラビットのお話,https://tadoku.org/japanese/wp-content/uploads/f0063e-peterrabbit-v5.pdf,https://tadoku.org/japanese/book/7348/
1,ベトナムの生春巻き,https://tadoku.org/japanese/wp-content/uploads/f0078e-namaharumaki-v4.pdf,https://tadoku.org/japanese/book/8576/
1,ベンジャミンバニーのお話,https://tadoku.org/japanese/wp-content/uploads/f0067e-thetaleofbenjaminbunny-v3.pdf,https://tadoku.org/japanese/book/7957/
1,メキシコの犬,https://tadoku.org/japanese/wp-content/uploads/f0084e-mexico-v4.pdf,https://tadoku.org/japanese/book/8964/
1,三まいのおふだ,https://tadoku.org/japanese/wp-content/uploads/f0115e-sanmainoohuda.pdf,https://tadoku.org/japanese/book/47818/
1,京都のかえると大阪のかえる,https://tadoku.org/japanese/wp-content/uploads/f0121e-kyotoosakakaeru.pdf,https://tadoku.org/japanese/book/64041/
1,山に行きました,https://tadoku.org/japanese/wp-content/uploads/f0086e-yamani-v4-1.pdf,https://tadoku.org/japanese/book/9295/
1,日下川の猿猴,https://tadoku.org/japanese/wp-content/uploads/f0114e-enko.pdf,https://tadoku.org/japanese/book/47659/
1,日本の城,https://tadoku.org/japanese/wp-content/uploads/w0057e-nihonnoshiro-v2.pdf,https://tadoku.org/japanese/book/6873/
1,柴犬ディナちゃん、秋の京都へ行く！,https://tadoku.org/japanese/wp-content/uploads/f0010e-shibainudinachan-v3.pdf,https://tadoku.org/japanese/book/4158/
1,母の日,https://tadoku.org/japanese/wp-content/uploads/f0100e-hahanohi.pdf,https://tadoku.org/japanese/book/41295/
1,泣く女,https://tadoku.org/japanese/wp-content/uploads/f0089e-nakuonna-v2.pdf,https://tadoku.org/japanese/book/38370/
1,落花生はおもしろい！,https://tadoku.org/japanese/wp-content/uploads/f0090e-rakkasei-v2.pdf,https://tadoku.org/japanese/book/38533/
1,金の斧銀の斧～イソップ物語より,https://tadoku.org/japanese/wp-content/uploads/w0020e-kinnoonoginnoono.pdf,https://tadoku.org/japanese/book/64329/
2,お母さんヘンシン,https://tadoku.org/japanese/wp-content/uploads/f0045e-okaasanhenshin.pdf,https://tadoku.org/japanese/book/6070/
2,つみっこ,https://tadoku.org/japanese/wp-content/uploads/f0104e-tumikko.pdf,https://tadoku.org/japanese/book/42745/
2,やせうま,https://tadoku.org/japanese/wp-content/uploads/f0002e-yaseuma-v2.pdf,https://tadoku.org/japanese/book/3152/
2,ようこそ別府へ,https://tadoku.org/japanese/wp-content/uploads/f0003e-yokosobeppuhe-v2.pdf,https://tadoku.org/japanese/book/3149/
2,わたしとともだちのほしちゃんとねこのどのちゃん,https://tadoku.org/japanese/wp-content/uploads/f0022e-hoshichandonochan-v3.pdf,https://tadoku.org/japanese/book/4914/
2,キャラメルとあめ玉,https://tadoku.org/japanese/wp-content/uploads/f0107e-caramel.pdf,https://tadoku.org/japanese/book/43311/
2,ヴィトリアレジア ブラジル先住民のお話から,https://tadoku.org/japanese/wp-content/uploads/f0035e-victoriaregia-v3-1.pdf,https://tadoku.org/japanese/book/5494/
2,丸メガネ寮母さん,https://tadoku.org/japanese/wp-content/uploads/f0034e-marumegane-v3.pdf,https://tadoku.org/japanese/book/5456/
2,北海道,https://tadoku.org/japanese/wp-content/uploads/f0058e-hokkaido.pdf,https://tadoku.org/japanese/book/6987/
2,吉四六さんの話 ～舟のお金～,https://tadoku.org/japanese/wp-content/uploads/f0001e-kicchomu-v2.pdf,https://tadoku.org/japanese/book/3155/
2,夜の図書館,https://tadoku.org/japanese/wp-content/uploads/f0110e-yorunotoshokan-v2.pdf,https://tadoku.org/japanese/book/44313/
2,山田さんの大問題,https://tadoku.org/japanese/wp-content/uploads/f0092e-yamadasan-v3.pdf,https://tadoku.org/japanese/book/38919/
